;wien;graz;basel;chemnitz;erfurt;halle;mainz;marburg;stuttgart
Number of mentions;707.0;374.0;854.0;197.0;195.0;1918.0;383.0;1081.0;1039.0
Number of mentioned authors;309.0;203.0;313.0;87.0;86.0;528.0;133.0;401.0;374.0
Number of mentioned female authors;92.0;50.0;67.0;12.0;11.0;113.0;22.0;106.0;108.0
Number of mentioned male authors;215.0;153.0;239.0;73.0;75.0;412.0;111.0;291.0;261.0
Number of mentioned authors of unknown gender;2.0;0.0;7.0;2.0;0.0;3.0;0.0;4.0;5.0
Number of mentions of female authors;195.0;97.0;111.0;22.0;16.0;294.0;41.0;227.0;194.0
Number of mentions of male authors;509.0;277.0;734.0;172.0;179.0;1620.0;342.0;850.0;839.0
Number of mentions of authors of unknown gender;3.0;0.0;9.0;3.0;0.0;4.0;0.0;4.0;6.0
Number of mentions of female authors (on top 100);121.0;75.0;52.0;22.0;16.0;148.0;37.0;135.0;97.0
Number of mentions of male authors (on top 100);333.0;196.0;559.0;172.0;179.0;1112.0;313.0;569.0;603.0
Number of mentions of authors of unknown gender (on top 100);2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
